experiment_id,timestamp,scenario,label,order_request_rate,order_error_rate_5xx,order_error_rate_4xx,order_p99_latency_s,order_p95_latency_s,order_p50_latency_s,order_jvm_heap_mb,order_active_threads,order_service_up,payment_request_rate,payment_error_rate_5xx,payment_error_rate_4xx,payment_p99_latency_s,payment_p95_latency_s,payment_p50_latency_s,payment_jvm_heap_mb,payment_active_threads,payment_service_up,inventory_request_rate,inventory_error_rate_5xx,inventory_error_rate_4xx,inventory_p99_latency_s,inventory_p95_latency_s,inventory_p50_latency_s,inventory_jvm_heap_mb,inventory_active_threads,inventory_service_up,shipping_request_rate,shipping_error_rate_5xx,shipping_error_rate_4xx,shipping_p99_latency_s,shipping_p95_latency_s,shipping_p50_latency_s,shipping_jvm_heap_mb,shipping_active_threads,shipping_service_up,delivery_request_rate,delivery_error_rate_5xx,delivery_error_rate_4xx,delivery_p99_latency_s,delivery_p95_latency_s,delivery_p50_latency_s,delivery_jvm_heap_mb,delivery_active_threads,delivery_service_up,notification_request_rate,notification_error_rate_5xx,notification_error_rate_4xx,notification_p99_latency_s,notification_p95_latency_s,notification_p50_latency_s,notification_jvm_heap_mb,notification_active_threads,notification_service_up,run,fault_type,fault_service,fault_delay_ms,order_error_ratio,order_latency_spike,payment_error_ratio,payment_latency_spike,inventory_error_ratio,inventory_latency_spike,shipping_error_ratio,shipping_latency_spike,delivery_error_ratio,delivery_latency_spike,notification_error_ratio,notification_latency_spike,system_mean_error_rate,system_max_error_rate,system_max_p99_latency,system_mean_p99_latency,num_services_down,rolling_mean_error,rolling_std_error,delta_error_rate,acceleration_error,delta_latency,rolling_mean_latency,delta_services_down
bcb32a70,2026-09-01T16:42:12.267533,CASCADE_PAYMENT_DOWN,1,0.420134,0.0,,,,,13.0,,1.0,0.460156,0.120041,,,,,4.0,,1.0,0.460156,0.0,0.180061,,,,10.999992,,1.0,0.460147,0.0,,,,,37.999992,,1.0,0.400136,0.0,,,,,53.999992,,1.0,0.780265,0.0,,,,,4.0,,1.0,1,DOWN,payment-service,0,0.0,,0.2608702260518818,,0.0,,0.0,,0.0,,0.0,,0.0200068333333333,0.120041,,,0,0.0200068333333333,0.0,0.0,0.0,0.0,,0.0
67bd93ca,2026-09-01T16:42:38.944856,CASCADE_PAYMENT_DOWN,1,0.480115,0.0,,,,,18.0,,1.0,0.520583,0.240269,,,,,7.0,,1.0,0.500571,0.0,0.200228,,,,13.999992,,1.0,0.460507,0.0,,,,,40.999992,,1.0,0.480182,0.0,,,,,55.999992,,1.0,0.720807,0.0,,,,,8.0,,1.0,2,DOWN,payment-service,0,0.0,,0.4615383128885532,,0.0,,0.0,,0.0,,0.0,,0.0400448333333333,0.240269,,,0,0.0300258333333333,0.01416900568141604,0.020038,0.020038,0.0,,0.0
bc097b80,2026-09-01T16:43:05.130933,CASCADE_PAYMENT_DOWN,1,0.460295,0.0,,,,,23.0,,1.0,0.50047,0.240226,,,,,10.0,,1.0,0.50047,0.0,0.200188,,,,17.999992,,1.0,0.440405,0.0,,,,,44.999992,,1.0,0.460285,0.0,,,,,58.999992,,1.0,0.680626,0.0,,,,,11.0,,1.0,3,DOWN,payment-service,0,0.0,,0.4800007982896062,,0.0,,0.0,,0.0,,0.0,,0.0400376666666666,0.240226,,,0,0.033363111111111066,0.0115668764106023,-7.166666666696964e-06,-0.020045166666666697,0.0,,0.0
ca43887e,2026-09-01T16:43:29.944190,CASCADE_PAYMENT_DOWN,1,0.480125,0.0,,,,,28.0,,1.0,0.50014,0.240067,,,,,2.0,,1.0,0.520146,0.0,0.200056,,,,19.999992,,1.0,0.460138,0.0,,,,,47.999992,,1.0,0.460414,0.0,,,,,60.999992,,1.0,0.70021,0.0,,,,,14.0,,1.0,4,DOWN,payment-service,0,0.0,,0.4799995991522381,,0.0,,0.0,,0.0,,0.0,,0.0400111666666666,0.240067,,,0,0.04003122222222216,1.7734408908693415e-05,-2.6500000000005686e-05,-1.9333333333308722e-05,0.0,,0.0
e222dbe2,2026-09-01T16:43:54.018349,CASCADE_PAYMENT_DOWN,1,0.480307,0.0,,,,,33.0,,1.0,0.520208,0.240096,,,,,5.0,,1.0,0.50018,0.0,0.200072,,,,22.999992,,1.0,0.460313,0.0,,,,,50.999992,,1.0,0.480317,0.0,,,,,64.999992,,1.0,0.720259,0.0,,,,,17.999992,,1.0,5,DOWN,payment-service,0,0.0,,0.4615384606512425,,0.0,,0.0,,0.0,,0.0,,0.040016,0.240096,,,0,0.04002161111111107,1.4112970134114423e-05,4.833333333405243e-06,3.133333333341093e-05,0.0,,0.0
c68aadf3,2026-09-01T16:44:19.001101,CASCADE_SHIPPING_DOWN,1,0.460368,0.0,,,,,38.0,,1.0,0.50039,0.120094,,,,,7.0,,1.0,0.5004,0.0,0.20016,,,,24.999992,,1.0,0.5004,0.120096,,,,,53.999992,,1.0,0.360339,0.0,,,,,65.999992,,1.0,0.720576,0.0,,,,,1.0,,1.0,1,DOWN,shipping-service,0,0.0,,0.2400007988968588,,0.0,,0.2399999995203837,,0.0,,0.0,,0.0400316666666666,0.120096,,,0,0.0400316666666666,0.0,0.0,0.0,0.0,,0.0
f0bbe28c,2026-09-01T16:44:42.340138,CASCADE_SHIPPING_DOWN,1,0.460414,0.0,,,,,41.0,,1.0,0.480423,0.0,,,,,11.0,,1.0,0.50043,0.0,0.200172,,,,27.999992,,1.0,0.520458,0.240211,,,,,55.999992,,1.0,0.220194,0.0,,,,,68.999992,,1.0,0.720634,0.0,,,,,3.0,,1.0,2,DOWN,shipping-service,0,0.0,,0.0,,0.0,,0.4615377216575829,,0.0,,0.0,,0.0400351666666666,0.240211,,,0,0.0400334166666666,2.474873734155391e-06,3.5000000000035003e-06,3.5000000000035003e-06,0.0,,0.0
b5587670,2026-09-01T16:45:36.849702,CASCADE_SHIPPING_DOWN,1,0.30071,0.0,,,,,48.0,,1.0,0.300866,0.0,,,,,16.0,,1.0,0.300812,0.0,0.100271,,,,33.999992,,1.0,0.300866,0.120347,,,,,61.999992,,1.0,0.180426,0.0,,,,,2.0,,1.0,0.401171,0.0,,,,,9.0,,1.0,3,DOWN,shipping-service,0,0.0,,0.0,,0.0,,0.4000019929137821,,0.0,,0.0,,0.0200578333333333,0.120347,,,0,0.033374888888888836,0.011532908547492013,-0.019977333333333302,-0.019980833333333305,0.0,,0.0
28f8f64c,2026-09-01T16:46:24.296725,CASCADE_SHIPPING_DOWN,1,0.340518,0.0,,,,,58.0,,1.0,0.340327,0.0,,,,,23.0,,1.0,0.360166,0.0,0.100046,,,,38.999992,,1.0,0.342282,0.120089,,,,,0.0,,1.0,0.212554,0.0,,,,,0.0,,0.0,0.460396,0.0,,,,,20.0,,1.0,4,DOWN,shipping-service,0,0.0,,0.0,,0.0,,0.3508481300481821,,0.0,,0.0,,0.0200148333333333,0.120089,,,1,0.026702611111111066,0.0115463518256409,-4.29999999999979e-05,0.019934333333333304,0.0,,1.0
5194dbfa,2026-09-01T16:47:27.778931,CASCADE_SHIPPING_DOWN,1,0.303,0.0,,,,,65.0,,1.0,0.303012,0.0,,,,,28.0,,1.0,0.320899,0.0,0.100281,,,,44.999992,,1.0,0.320873,0.120327,,,,,5.0,,1.0,0.183068,0.0,,,,,0.0,,1.0,0.421179,0.0,,,,,2.0,,1.0,5,DOWN,shipping-service,0,0.0,,0.0,,0.0,,0.3749988301446402,,0.0,,0.0,,0.0200545,0.120327,,,0,0.020042388888888867,2.3921940954675078e-05,3.966666666669824e-05,8.266666666669614e-05,0.0,,-1.0
